filename,image_name,class,class_index
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4385_MK_18247075_cn_coin_5902_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4389_BNF_D 2180_cn_coin_10909_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4391_BNF_1973.1.1_cn_coin_10908_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4391_MK_18247106_cn_coin_5905_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4397_MK_18247105_cn_coin_5904_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4400_BNF_E 642_cn_coin_10910_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4402_MK_18247104_cn_coin_5903_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4425_cn_coin_21222_p.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4427_BNF_M 4534_cn_coin_10911_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4427_MK_18247112_cn_coin_5911_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4427_MK_18247113_cn_coin_5912_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4428_MK_18247107_cn_coin_5906_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4428_MK_18247108_cn_coin_5907_o.jpg,Abdera,0
F:\Users\basti\Documents\Goethe Uni\Data Challange\CN_dataset_04_23\dataset_mints\Abdera,CN_type_4431_cn_coin_21223_p.jpg,Abdera,0
